rider_name,rider_url,Omloop Nieuwsblad,Kuurne-Brussel-Kuurne,Samyn Classic,Strade Bianche,Nokere Koerse,Bredene Koksijde Classic,Milaan-Sanremo,Ronde van Brugge,E3 Saxo Classic,In Flanders Fields,Dwars door Vlaanderen,Ronde van Vlaanderen,Scheldeprijs,Parijs-Roubaix,Ronde van Limburg,Brabantse Pijl,Amstel Gold Race,Waalse Pijl,Luik-Bastenaken-Luik,races_count
DELLE VEDOVE Alessio,rider/alessio-delle-vedove,,,,,X,X,,,,,,,,,,,,,,2/19
DEMAN Brem,rider/brem-deman,,X,,,,,,,,X,,X,,,,,,,,3/19
DESAL Ceriel,rider/ceriel-desal,,X,X,,X,X,,,,,,,,,,,,,,4/19
DESMARETS Julien,rider/julien-desmarets,,,X,,,,,,,,,,,,,,,,,1/19
DEWEIRDT Siebe,rider/siebe-deweirdt,X,,,,X,X,,,X,,,,,,,,,,,4/19
DEWULF Stan,rider/stan-dewulf,X,X,,,,,,,X,,,X,,,,,,,,4/19
DHAEYE Enrico,rider/enrico-dhaeye,,,X,,,,,,,,,,,,,,,,,1/19
DHONDT Robbe,rider/robbe-dhondt,,,,X,,,X,,,,,,,,,,,,,2/19
DILLIER Silvan,rider/silvan-dillier,,X,X,,,,X,,X,X,,X,,,,,,,,6/19
DINA Márton,rider/marton-dina,,,,X,,,,,,,,,,,,,,,,1/19
DINHAM Matthew,rider/matthew-dinham,,,,X,,,X,,,,,,,,,,,,,2/19
DISSEL Bram,rider/bram-dissel,,,,,,X,,,,,,,,,,,,,,1/19
DOCKX Aaron,rider/aaron-dockx,,,,X,,,,,,,,,,,,,,,,1/19
DOCKX Gilles,rider/gilles-dockx,,,X,,,,,,,,,,,,,,,,,1/19
DONALDSON Robert,rider/robert-donaldson,X,X,,,,X,,,X,X,X,X,,,,,,,,7/19
DONATI Davide,rider/davide-donati,,,,,X,,,,,,,,,,,,,,,1/19
DONNENWIRTH Tom,rider/tom-donnenwirth,,,,X,,,,,,,,,,,,,,,,1/19
DONOVAN Mark,rider/mark-donovan,,,,X,,,X,,,,,,,,,,,,,2/19
DOULL Owain,rider/owain-doull,,,,,,,X,,X,X,,,,,,,,,,3/19
DRIZNERS Jarrad,rider/jarrad-drizners,X,X,X,,X,,,,X,X,X,X,,,,,,,,8/19
DUJARDIN Sandy,rider/sandy-dujardin,X,,,,,,,,X,X,X,X,,,,,,,,5/19
DUNWOODY Seth,rider/seth-dunwoody,,,X,,X,,,,,,,,,,,,,,,2/19
DUPONT Timothy,rider/timothy-dupont,,,X,,X,X,,,,,,,,,,,,,,3/19
DURBRIDGE Luke,rider/luke-durbridge,,,,,,,,,X,X,X,X,,,,,,,,4/19
DVERSNES LAVIK Fredrik,rider/fredrik-dversnes,,,,X,,,,,,,,,,,,,,,,1/19
EGHOLM Kristian,rider/kristian-egholm1,,,,,X,,,,,,,,,,,,,,,1/19
EINHORN Itamar,rider/itamar-einhorn,,,,,X,X,,,,,,,,,,,,,,2/19
EISING Tijmen,rider/tijmen-eising,,,,,,X,,,,,,,,,,,,,,1/19
ERIKSSON Jacob,rider/jacob-eriksson,,,,,,,X,,,,,,,,,,,,,1/19
ERMAKOV Roman,rider/roman-ermakov,,,,,,,X,,,,,,,,,,,,,1/19
ERŽEN Žak,rider/zak-erzen,,,X,,X,,,,X,,,,,,,,,,,3/19
ETXEBERRIA Haimar,rider/haimar-etxeberria,,,,,X,,,,,,,,,,,,,,,1/19
